Date	demanda_diaria
2021-01-01	140633034.81
2021-01-02	147072661.14
2021-01-03	146680614.0
2021-01-04	155873796.08999997
2021-01-05	156707424.33
2021-01-06	157613625.89999998
2021-01-07	159063371.04
2021-01-08	159753347.19
2021-01-09	154477314.3
2021-01-10	148970026.8
2021-01-11	151742130.3
2021-01-12	155393008.76999998
2021-01-13	155512532.64
2021-01-14	157025581.47
2021-01-15	161198653.38
2021-01-16	158052390.24
2021-01-17	147886037.82
2021-01-18	160655038.07999998
2021-01-19	160917347.88
2021-01-20	160902980.07
2021-01-21	161665749.92999998
2021-01-22	161708214.15
2021-01-23	154915984.47
2021-01-24	148987932.48000002
2021-01-25	157483249.64999998
2021-01-26	157808529.06
2021-01-27	160027311.15
2021-01-28	158791598.51999998
2021-01-29	156287444.28
2021-01-30	150779551.56
2021-01-31	147249736.95
2021-02-01	160180170.39
2021-02-02	157914678.20999998
2021-02-03	159587350.77
2021-02-04	161925719.16
2021-02-05	165372794.88
2021-02-06	160696331.19
2021-02-07	152715092.58
2021-02-08	165149849.94
2021-02-09	167332013.82
2021-02-10	166533799.10999998
2021-02-11	164251089.06
2021-02-12	167739511.01999998
2021-02-13	163359053.22
2021-02-14	154459644.72000003
2021-02-15	166364420.37
2021-02-16	165057167.28
2021-02-17	162969532.56
2021-02-18	166303231.68
2021-02-19	167468401.68
2021-02-20	162670916.57999998
2021-02-21	153442234.07999998
2021-02-22	164498033.37
2021-02-23	168312881.79000002
2021-02-24	169766611.82999998
2021-02-25	169787767.77
2021-02-26	171548451.93
2021-02-27	163329403.44
2021-02-28	154613859.12
2021-03-01	163901893.76999998
2021-03-02	161724608.61
2021-03-03	158569441.44
2021-03-04	162660198.21
2021-03-05	164257812.87
2021-03-06	164431082.1
2021-03-07	157724245.76999998
2021-03-08	167950079.85
2021-03-09	164817235.38
2021-03-10	165466281.51
2021-03-11	166874633.43
2021-03-12	166385280.99
2021-03-13	162608630.57999998
2021-03-14	152191918.14
2021-03-15	167196288.32999998
2021-03-16	165698330.19
2021-03-17	168832992.57
2021-03-18	167388672.15
2021-03-19	167576553.77999997
2021-03-20	162572852.64
2021-03-21	158148415.82999998
2021-03-22	154605097.26
2021-03-23	160808499.78
2021-03-24	166915024.83
2021-03-25	171342356.31
2021-03-26	171616152.20999998
2021-03-27	166038274.34999996
2021-03-28	159871658.37
2021-03-29	172648365.6
2021-03-30	176445924.87
2021-03-31	172331753.28
2021-04-01	163674268.95
2021-04-02	156443426.67000002
2021-04-03	155336736.36
2021-04-04	156381842.31
2021-04-05	165733564.8
2021-04-06	166765880.45999998
2021-04-07	159925356.72
2021-04-08	164250581.88
2021-04-09	161244559.70999998
2021-04-10	156481513.56
2021-04-11	155347965.59999996
2021-04-12	169044644.76
2021-04-13	166151331.42000002
2021-04-14	163652105.07
2021-04-15	166208979.26999998
2021-04-16	166212261.75
2021-04-17	167675965.08
2021-04-18	152967663.71999997
2021-04-19	170473790.82
2021-04-20	176812280.97000003
2021-04-21	174237772.74
2021-04-22	174606984.96
2021-04-23	174502681.82999998
2021-04-24	169669028.01
2021-04-25	163469105.85000002
2021-04-26	168870512.85
2021-04-27	171604791.54000002
2021-04-28	162080746.65
2021-04-29	165613078.08
2021-04-30	166532221.14000002
2021-05-01	157545647.96999997
2021-05-02	156073689.63
2021-05-03	161311224.69
2021-05-04	157882744.65
2021-05-05	161405066.97
2021-05-06	164856613.52999997
2021-05-07	163998891.84000003
2021-05-08	163752103.38
2021-05-09	154918639.44
2021-05-10	167710778.04000002
2021-05-11	173026071.15
2021-05-12	171493488.9
2021-05-13	173672254.68
2021-05-14	175764106.17000002
2021-05-15	172660189.29
2021-05-16	164621191.74
2021-05-17	164698252.38
2021-05-18	164483062.67999998
2021-05-19	171362559.66
2021-05-20	177207117.95999998
2021-05-21	180491064.84
2021-05-22	176658050.19
2021-05-23	164325487.82999998
2021-05-24	179255058.81
2021-05-25	177847187.07000002
2021-05-26	178681586.37
2021-05-27	177396252.57
2021-05-28	172420744.05
2021-05-29	168641354.88
2021-05-30	159711596.94
2021-05-31	174048371.91000003
2021-06-01	173737376.76
2021-06-02	166221940.38
2021-06-03	171517859.73
2021-06-04	176225879.76
2021-06-05	172835065.77
2021-06-06	162583356.99
2021-06-07	156383639.19
2021-06-08	162450059.16
2021-06-09	158865064.74
2021-06-10	165380217.84
2021-06-11	173890808.33999997
2021-06-12	168489122.52
2021-06-13	159724457.82
2021-06-14	161929570.02
2021-06-15	170968682.67
2021-06-16	175856758.86
2021-06-17	182088869.82
2021-06-18	173639158.64999998
2021-06-19	172178856.54000002
2021-06-20	170038743.87
2021-06-21	175995489.75
2021-06-22	173644240.89
2021-06-23	173294400.06
2021-06-24	161792538.60000002
2021-06-25	163634338.02
2021-06-26	159527494.14
2021-06-27	153143993.46
2021-06-28	170999253.12
2021-06-29	179539534.20000002
2021-06-30	178819474.89
2021-07-01	172526040.42000002
2021-07-02	173176518.51
2021-07-03	165915739.11
2021-07-04	153544894.56
2021-07-05	162923239.2
2021-07-06	173097753.36
2021-07-07	175486567.38000003
2021-07-08	177458459.33999997
2021-07-09	176574054.42
2021-07-10	163588324.44
2021-07-11	156239485.89
2021-07-12	174936370.59000003
2021-07-13	179928657.9
2021-07-14	180660644.61
2021-07-15	177587839.14
2021-07-16	180213849.78
2021-07-17	175417535.97
2021-07-18	169512009.87
2021-07-19	177802364.97
2021-07-20	178991107.11
2021-07-21	184809111.48
2021-07-22	186771733.68
2021-07-23	189809732.13
2021-07-24	171851103.69
2021-07-25	145947252.84000003
2021-07-26	165860162.94
2021-07-27	167358426.32999998
2021-07-28	173002763.76
2021-07-29	179312704.29
2021-07-30	176535455.67
2021-07-31	178954661.04000002
2021-08-01	168706086.75
2021-08-02	167910323.01
2021-08-03	165922783.76999998
2021-08-04	169459548.63000003
2021-08-05	177775572.33
2021-08-06	181731651.36
2021-08-07	172081968.78
2021-08-08	168145534.35000002
2021-08-09	178686764.4
2021-08-10	178846004.67000002
2021-08-11	174207301.74
2021-08-12	175643278.04999998
2021-08-13	176824480.59
2021-08-14	171893131.07999998
2021-08-15	161840214.48
2021-08-16	161069063.73000002
2021-08-17	165663586.56
2021-08-18	166098936.84
2021-08-19	167513766.72
2021-08-20	163899588.03000003
2021-08-21	166079676.75
2021-08-22	159975259.59000003
2021-08-23	173022689.25000003
2021-08-24	164673703.23
2021-08-25	160777676.82000002
2021-08-26	161436296.28
2021-08-27	166298500.56
2021-08-28	172443291.72000003
2021-08-29	166502505.18
2021-08-30	158609218.70999998
2021-08-31	151048145.10000002
2021-09-01	163449245.07
2021-09-02	174887633.07
2021-09-03	183933433.44000003
2021-09-04	170283682.07999998
2021-09-05	157909176.89999998
2021-09-06	166790449.32
2021-09-07	164565631.26
2021-09-08	172894254.6
2021-09-09	179880366.99
2021-09-10	185451432.66000003
2021-09-11	169154658.93
2021-09-12	165202375.01999998
2021-09-13	169756303.23000002
2021-09-14	170591224.11
2021-09-15	177176251.82999998
2021-09-16	176709727.05
2021-09-17	187170286.01999998
2021-09-18	182448132.08999997
2021-09-19	170230054.5
2021-09-20	179659831.23
2021-09-21	179026168.92000002
2021-09-22	175039196.82
2021-09-23	173903375.61
2021-09-24	175438452.23999998
2021-09-25	178581758.07
2021-09-26	175616223.63
2021-09-27	188065000.38
2021-09-28	178459629.39
2021-09-29	171668201.16000003
2021-09-30	170423450.04000002
2021-10-01	170336603.34
2021-10-02	173515359.93
2021-10-03	168259693.95
2021-10-04	178274845.2
2021-10-05	175907335.11
2021-10-06	176515622.94
2021-10-07	183323628.39
2021-10-08	182320418.67
2021-10-09	172595986.29000002
2021-10-10	165607896.26999998
2021-10-11	175146937.89
2021-10-12	174696695.52
2021-10-13	166356779.01
2021-10-14	174548451.15000004
2021-10-15	180553551.21
2021-10-16	165737517.27
2021-10-17	159192287.76
2021-10-18	163821338.37
2021-10-19	175836659.7
2021-10-20	176673054.24
2021-10-21	174897178.47
2021-10-22	176042365.2
2021-10-23	175514510.64000002
2021-10-24	165388824.89999998
2021-10-25	176892026.64
2021-10-26	180315028.47
2021-10-27	178948135.07999998
2021-10-28	179366619.3
2021-10-29	161888278.32000002
2021-10-30	159376053.57
2021-10-31	152855890.14
2021-11-01	150136050.33
2021-11-02	162251032.47000003
2021-11-03	164901676.07999998
2021-11-04	166651726.01999998
2021-11-05	174796425.20999998
2021-11-06	174821100.51
2021-11-07	170678691.66000003
2021-11-08	174606034.38
2021-11-09	178104456.20999998
2021-11-10	176357172.18
2021-11-11	175980086.85000002
2021-11-12	177672305.7
2021-11-13	175888389.81
2021-11-14	168315188.13
2021-11-15	168884189.25
2021-11-16	179555396.57999998
2021-11-17	178087363.08
2021-11-18	178357531.56
2021-11-19	179759497.29000002
2021-11-20	176865717.81
2021-11-21	166524473.16000003
2021-11-22	175627686.51
2021-11-23	166779258.63
2021-11-24	165341152.56
2021-11-25	166319942.19
2021-11-26	163844575.85999998
2021-11-27	159060503.04000002
2021-11-28	161831886.75
2021-11-29	170604143.85
2021-11-30	173624032.89000002
2021-12-01	171765809.19
2021-12-02	174777780.66
2021-12-03	178208517.06
2021-12-04	173812462.89
2021-12-05	167057447.76
2021-12-06	175405856.4
2021-12-07	172513792.56
2021-12-08	167501102.1
2021-12-09	170353014.39
2021-12-10	171417843.75
2021-12-11	164936468.94
2021-12-12	160112476.17000002
2021-12-13	163306371.42000002
2021-12-14	166428234.26999998
2021-12-15	171351064.65000004
2021-12-16	176974620.45
2021-12-17	174193410.45
2021-12-18	171186243.3
2021-12-19	166041226.82999998
2021-12-20	174605859.84
2021-12-21	170940699.45
2021-12-22	170924522.61
2021-12-23	172508630.91
2021-12-24	169478594.57999998
2021-12-25	162301244.04
2021-12-26	165629240.31
2021-12-27	174091223.33999997
2021-12-28	171788198.52
2021-12-29	172577597.45999998
2021-12-30	172284736.86
2021-12-31	160489095.95999998
2022-01-01	151778299.38
2022-01-02	155721043.17
2022-01-03	165774519.48000002
2022-01-04	166721839.01999998
2022-01-05	164346590.1
2022-01-06	166509839.22
2022-01-07	169165054.65000004
2022-01-08	166364964.3
2022-01-09	157274834.39999998
2022-01-10	157329510.57
2022-01-11	163705463.52
2022-01-12	164557054.77
2022-01-13	164861538.3
2022-01-14	163996694.31
2022-01-15	161054190.75000003
2022-01-16	158516470.56
2022-01-17	169844355.54000002
2022-01-18	172238406.15
2022-01-19	170471962.17000002
2022-01-20	172551381.18
2022-01-21	174824454.15
2022-01-22	170884161.27
2022-01-23	159541600.23000002
2022-01-24	166907289.75
2022-01-25	170700748.23
2022-01-26	171500395.2
2022-01-27	170218303.10999998
2022-01-28	171602698.17000002
2022-01-29	163102744.59
2022-01-30	153819257.19
2022-01-31	162088788.87
2022-02-01	168179751.99
2022-02-02	172869439.52999997
2022-02-03	173361787.47000003
2022-02-04	173206489.11
2022-02-05	168218040.63
2022-02-06	158481299.70000002
2022-02-07	169698114.51
2022-02-08	170534627.88
2022-02-09	172878348.24
2022-02-10	174718818.08999997
2022-02-11	174720986.76
2022-02-12	172419526.35000002
2022-02-13	162742560.47999996
2022-02-14	172937022.93
2022-02-15	168084405.3
2022-02-16	165548875.11
2022-02-17	170892264.0
2022-02-18	172971698.67
2022-02-19	169223028.77999997
2022-02-20	158363753.04000002
2022-02-21	168845409.42
2022-02-22	171283026.24
2022-02-23	172833683.51999998
2022-02-24	172469262.69
2022-02-25	171710855.52
2022-02-26	167176819.17000002
2022-02-27	163605458.01
2022-02-28	169095497.79000002
2022-03-01	170547753.02999997
2022-03-02	171811921.17000002
2022-03-03	171725709.63
2022-03-04	175331303.4
2022-03-05	169094771.61
2022-03-06	152504412.54
2022-03-07	168675462.54000002
2022-03-08	173144887.70999998
2022-03-09	172281490.14
2022-03-10	169185658.62
2022-03-11	170578385.64
2022-03-12	168323581.62
2022-03-13	159638866.74
2022-03-14	174945812.85
2022-03-15	175683094.62
2022-03-16	178805720.1
2022-03-17	177760245.36
2022-03-18	179050530.77999997
2022-03-19	174351150.6
2022-03-20	165381264.57
2022-03-21	168151962.78
2022-03-22	176513528.76
2022-03-23	181428000.78
2022-03-24	183444714.45000002
2022-03-25	181819012.44
2022-03-26	173365594.64999998
2022-03-27	163723439.19
2022-03-28	168409836.51
2022-03-29	169298824.38
2022-03-30	175157984.88
2022-03-31	176988297.24
2022-04-01	176372073.12
2022-04-02	172863920.7
2022-04-03	165084710.39999998
2022-04-04	168946540.89
2022-04-05	176252413.5
2022-04-06	180151537.68
2022-04-07	177312863.10000002
2022-04-08	175294934.39999998
2022-04-09	174342194.76
2022-04-10	169890758.67000002
2022-04-11	181775909.36999997
2022-04-12	181731349.77
2022-04-13	180914404.23000002
2022-04-14	173103179.40000004
2022-04-15	169708165.44
2022-04-16	172047158.73
2022-04-17	165445616.97000003
2022-04-18	175574740.71
2022-04-19	168522774.60000002
2022-04-20	165317207.60999998
2022-04-21	165561861.3
2022-04-22	164726714.82
2022-04-23	163026723.93
2022-04-24	162848356.07999998
2022-04-25	170679972.39
2022-04-26	171626544.87
2022-04-27	173233859.51999998
2022-04-28	170839783.05
2022-04-29	172011896.16
2022-04-30	173448690.06
2022-05-01	160774261.74
2022-05-02	177817567.8
2022-05-03	180842669.10000002
2022-05-04	189412766.04000002
2022-05-05	178266270.42000002
2022-05-06	166307566.95000002
2022-05-07	166525472.28
2022-05-08	168178495.86
2022-05-09	181634115.75
2022-05-10	175384505.49
2022-05-11	169681771.01999998
2022-05-12	169984589.88
2022-05-13	172244741.48999998
2022-05-14	175452974.67000002
2022-05-15	168949827.75
2022-05-16	177733709.57999998
2022-05-17	171017196.06
2022-05-18	172184529.08999997
2022-05-19	174646563.99
2022-05-20	180229803.69
2022-05-21	176851610.31
2022-05-22	175070804.64
2022-05-23	181998280.79999998
2022-05-24	183101024.16000003
2022-05-25	180534856.11
2022-05-26	174463238.22
2022-05-27	179734292.88
2022-05-28	178173617.46
2022-05-29	168734442.15000004
2022-05-30	172985076.3
2022-05-31	180851785.11
2022-06-01	180921610.26
2022-06-02	176976298.38
2022-06-03	169710449.49
2022-06-04	167264389.98000002
2022-06-05	163030431.87
2022-06-06	174476721.08999997
2022-06-07	168465769.5
2022-06-08	166646061.63000003
2022-06-09	169588344.89999998
2022-06-10	172524504.15
2022-06-11	165471988.29
2022-06-12	152374579.59
2022-06-13	166778411.33999997
2022-06-14	162818921.19
2022-06-15	169256437.74
2022-06-16	170333255.13
2022-06-17	169926765.26999998
2022-06-18	164122668.09
2022-06-19	148471918.56
2022-06-20	159161422.44
2022-06-21	170969703.45
2022-06-22	175787218.82999998
2022-06-23	180098143.53
2022-06-24	171196035.36
2022-06-25	162451054.44
2022-06-26	152506867.62
2022-06-27	152976831.72000003
2022-06-28	165014799.42
2022-06-29	171340275.69
2022-06-30	167459343.83999997
2022-07-01	169343639.88
2022-07-02	171003885.12
2022-07-03	166388400.51
2022-07-04	170761552.01999998
2022-07-05	177387006.57
2022-07-06	174180931.32
2022-07-07	176873683.47
2022-07-08	178561470.69
2022-07-09	177490071.09
2022-07-10	170208016.92000002
2022-07-11	175507063.74
2022-07-12	178451117.85
2022-07-13	180103704.57
2022-07-14	180150309.6
2022-07-15	181992541.01999998
2022-07-16	179662346.31
2022-07-17	174249786.27
2022-07-18	178307942.22000003
2022-07-19	179572095.24
2022-07-20	177877842.51
2022-07-21	179185743.51
2022-07-22	177529513.98000002
2022-07-23	175134085.98
2022-07-24	166352674.5
2022-07-25	177714026.4
2022-07-26	174777856.77000004
2022-07-27	177442142.43
2022-07-28	169936437.78
2022-07-29	179428374.89999998
2022-07-30	182473887.11999997
2022-07-31	174825916.83
2022-08-01	175375760.64000002
2022-08-02	169695555.77999997
2022-08-03	169573990.26
2022-08-04	175627391.1
2022-08-05	175887609.9
2022-08-06	168314210.49
2022-08-07	166090523.51999998
2022-08-08	180380736.63
2022-08-09	181376465.94
2022-08-10	170672509.47000003
2022-08-11	173118227.16000003
2022-08-12	174028890.6
2022-08-13	166242918.66000003
2022-08-14	158458575.12
2022-08-15	159740833.11
2022-08-16	166403585.07
2022-08-17	178232579.51999998
2022-08-18	184498196.31
2022-08-19	187666810.38
2022-08-20	183390023.33999997
2022-08-21	163753491.12
2022-08-22	168660375.69
2022-08-23	168626803.35000002
2022-08-24	177084046.59
2022-08-25	175732608.27
2022-08-26	169395713.28
2022-08-27	165744681.0
2022-08-28	161983563.20999998
2022-08-29	160639569.96
2022-08-30	171955992.93
2022-08-31	175423306.70999998
2022-09-01	168139967.31
2022-09-02	175100342.55
2022-09-03	176260464.75
2022-09-04	166783508.7
2022-09-05	173484347.19
2022-09-06	175326326.43
2022-09-07	174601718.7
2022-09-08	168360999.09000003
2022-09-09	172868506.14000002
2022-09-10	177191337.75
2022-09-11	160002448.74
2022-09-12	167199038.57999998
2022-09-13	164949838.8
2022-09-14	171800422.38
2022-09-15	173819323.44
2022-09-16	175125519.81
2022-09-17	165589988.79000002
2022-09-18	156062551.68
2022-09-19	153841255.32
2022-09-20	159055045.5
2022-09-21	161445935.55
2022-09-22	158213675.04
2022-09-23	160698870.75
2022-09-24	158923315.5
2022-09-25	147628875.15
2022-09-26	165354926.07
2022-09-27	163335686.73000002
2022-09-28	162579693.66000003
2022-09-29	161271268.98
2022-09-30	159680866.08
2022-10-01	154891821.02999997
2022-10-02	158455217.46
2022-10-03	179059277.31
2022-10-04	183222626.61
2022-10-05	170825304.57
2022-10-06	167054143.8
2022-10-07	156454687.95
2022-10-08	158918979.89999998
2022-10-09	152727555.42000002
2022-10-10	167057095.04999998
2022-10-11	173453286.39
2022-10-12	173785385.07
2022-10-13	163510619.31
2022-10-14	165015406.68
2022-10-15	168300518.49
2022-10-16	161471544.18
2022-10-17	158413126.73999998
2022-10-18	167708322.89999998
2022-10-19	167914215.92999998
2022-10-20	172031087.22000003
2022-10-21	170160281.85
2022-10-22	165629628.9
2022-10-23	156757603.56
2022-10-24	165777658.05
2022-10-25	164750882.90999997
2022-10-26	167610960.99
2022-10-27	172283977.95
2022-10-28	172040893.53
2022-10-29	166233954.45000002
2022-10-30	159423236.31
2022-10-31	169706048.84999996
2022-11-01	175491171.60000002
2022-11-02	180982899.63
2022-11-03	169684411.11
2022-11-04	164204201.28
2022-11-05	149440531.89
2022-11-06	134604034.62
2022-11-07	138338142.42
2022-11-08	151983079.62
2022-11-09	148863195.87
2022-11-10	154962373.5
2022-11-11	162136312.58999997
2022-11-12	157199162.27999997
2022-11-13	144550180.74
2022-11-14	150569009.19
2022-11-15	167860128.78
2022-11-16	172047348.06
2022-11-17	172777879.08
2022-11-18	166876574.55
2022-11-19	167377725.05999997
2022-11-20	166802056.92000002
2022-11-21	173007894.39
2022-11-22	171547542.99
2022-11-23	171866567.97000003
2022-11-24	171056513.76
2022-11-25	173053062.51
2022-11-26	170384639.85
2022-11-27	158342436.83999997
2022-11-28	166201236.78
2022-11-29	162557023.47
2022-11-30	167436086.78999996
2022-12-01	164826609.24
2022-12-02	164070374.31
2022-12-03	163176582.03
2022-12-04	155465103.57
2022-12-05	166730255.34
2022-12-06	164733917.76000002
2022-12-07	163974865.82999998
2022-12-08	155615466.87
2022-12-09	165005596.62
2022-12-10	161956652.85
2022-12-11	154473520.26
2022-12-12	166867807.20000002
2022-12-13	169611255.69
2022-12-14	171001020.78
2022-12-15	171487706.97
2022-12-16	174985955.82
2022-12-17	169352016.48000002
2022-12-18	161985095.76
2022-12-19	166044019.11
2022-12-20	164833141.32
2022-12-21	169252723.62
2022-12-22	172606696.64999998
2022-12-23	172108684.26
2022-12-24	162197325.96
2022-12-25	153092946.15
2022-12-26	165791453.31
2022-12-27	169743399.48000002
2022-12-28	171287352.75
2022-12-29	170862086.58000004
2022-12-30	169018738.53
2022-12-31	160168551.06
2023-01-01	151090490.49
2023-01-02	160682992.64999998
2023-01-03	166353215.55
2023-01-04	167702256.87
2023-01-05	166116101.85
2023-01-06	172532108.76
2023-01-07	170661508.01999998
