Date	demanda_diaria
2021-01-01	618400598.6800001
2021-01-02	670237048.56
2021-01-03	669877040.6
2021-01-04	756235748.52
2021-01-05	771020144.5600001
2021-01-06	779218598.0
2021-01-07	785214723.0400001
2021-01-08	774701813.08
2021-01-09	736798355.24
2021-01-10	685759979.76
2021-01-11	701690223.48
2021-01-12	781636246.84
2021-01-13	797293773.4
2021-01-14	803427720.88
2021-01-15	807087229.0
2021-01-16	770872157.3199999
2021-01-17	699403955.0
2021-01-18	800128627.52
2021-01-19	810304393.36
2021-01-20	810580462.4
2021-01-21	814679565.6
2021-01-22	814688832.52
2021-01-23	773110882.48
2021-01-24	704614343.56
2021-01-25	798098399.52
2021-01-26	809176279.72
2021-01-27	815826734.6
2021-01-28	816451691.4
2021-01-29	812795060.72
2021-01-30	770903820.96
2021-01-31	704109207.76
2021-02-01	807082599.0
2021-02-02	819206636.36
2021-02-03	826577292.96
2021-02-04	829500816.04
2021-02-05	836386158.24
2021-02-06	799279335.2800001
2021-02-07	724687172.5600001
2021-02-08	826210593.6800001
2021-02-09	832431361.2
2021-02-10	824901966.4399999
2021-02-11	829255244.12
2021-02-12	829927695.6
2021-02-13	793289764.4399999
2021-02-14	717331876.64
2021-02-15	810120065.72
2021-02-16	821997829.24
2021-02-17	818022758.0799999
2021-02-18	827690450.32
2021-02-19	825287034.36
2021-02-20	792623969.84
2021-02-21	716939962.4
2021-02-22	811981781.2
2021-02-23	831107468.08
2021-02-24	838558197.84
2021-02-25	841990456.28
2021-02-26	842432978.0
2021-02-27	790456770.6
2021-02-28	712485606.72
2021-03-01	802131277.08
2021-03-02	808405868.36
2021-03-03	809221472.08
2021-03-04	822870506.76
2021-03-05	826898215.04
2021-03-06	794324289.64
2021-03-07	720667174.0799999
2021-03-08	809557304.44
2021-03-09	821823552.76
2021-03-10	824306008.4399999
2021-03-11	824506570.0
2021-03-12	821192156.36
2021-03-13	785019434.04
2021-03-14	707449773.0799999
2021-03-15	808727838.8
2021-03-16	810515022.56
2021-03-17	820628704.64
2021-03-18	821493667.84
2021-03-19	825921886.36
2021-03-20	787416696.56
2021-03-21	721674470.6800001
2021-03-22	725321588.4
2021-03-23	808407420.2
2021-03-24	824838281.48
2021-03-25	833449839.08
2021-03-26	830227041.88
2021-03-27	795862911.28
2021-03-28	729488845.48
2021-03-29	824507626.4
2021-03-30	840112588.64
2021-03-31	821188904.84
2021-04-01	722492994.72
2021-04-02	673908168.28
2021-04-03	714327499.76
2021-04-04	702634466.04
2021-04-05	814396449.84
2021-04-06	824786295.72
2021-04-07	818316652.48
2021-04-08	833162171.48
2021-04-09	818928980.9599999
2021-04-10	786413237.68
2021-04-11	731864128.8
2021-04-12	817360628.8000001
2021-04-13	836244273.36
2021-04-14	833465005.68
2021-04-15	835072344.72
2021-04-16	827324200.0
2021-04-17	800290853.08
2021-04-18	720527072.2
2021-04-19	831630237.04
2021-04-20	853025181.72
2021-04-21	847140651.6
2021-04-22	851629608.84
2021-04-23	842825815.88
2021-04-24	809711610.6
2021-04-25	744725822.04
2021-04-26	836008837.0799999
2021-04-27	828719334.96
2021-04-28	790314521.0
2021-04-29	794577140.04
2021-04-30	773379592.56
2021-05-01	704154161.64
2021-05-02	680574706.36
2021-05-03	752881958.88
2021-05-04	761094929.16
2021-05-05	751949630.48
2021-05-06	757823371.8000001
2021-05-07	763299807.08
2021-05-08	740479838.48
2021-05-09	684062128.76
2021-05-10	771016365.52
2021-05-11	793026013.84
2021-05-12	793538041.12
2021-05-13	809747124.0
2021-05-14	819689157.4
2021-05-15	789954858.8
2021-05-16	718219316.68
2021-05-17	720895163.12
2021-05-18	782018383.52
2021-05-19	799328501.08
2021-05-20	822124193.64
2021-05-21	831532717.76
2021-05-22	797845331.28
2021-05-23	723549938.48
2021-05-24	815661631.96
2021-05-25	823948911.24
2021-05-26	827850664.08
2021-05-27	823374365.4
2021-05-28	807101679.36
2021-05-29	771661197.84
2021-05-30	711482330.56
2021-05-31	805707125.3199999
2021-06-01	810937583.04
2021-06-02	814637178.08
2021-06-03	829977682.12
2021-06-04	831986726.12
2021-06-05	799807012.56
2021-06-06	723139278.72
2021-06-07	724740591.2
2021-06-08	796937747.52
2021-06-09	795956388.44
2021-06-10	812621872.04
2021-06-11	835475395.44
2021-06-12	795376349.88
2021-06-13	720221682.04
2021-06-14	733547362.36
2021-06-15	810724262.16
2021-06-16	825025510.4
2021-06-17	846886540.12
2021-06-18	837450204.68
2021-06-19	804812560.36
2021-06-20	736701757.56
2021-06-21	817596304.76
2021-06-22	826592074.72
2021-06-23	833229777.48
2021-06-24	810354621.1600001
2021-06-25	810714604.84
2021-06-26	780041200.72
2021-06-27	714429058.64
2021-06-28	816904594.36
2021-06-29	843655081.36
2021-06-30	838889771.1999999
